ort,plz,landkreis,bundesland
Frankfurt am Main,60549,,Hessen
Frankfurt am Main,60594,,Hessen
Frankfurt am Main,60596,,Hessen
Frankfurt am Main,60598,,Hessen
Frankfurt am Main,60599,,Hessen
Frankfurt am Main,65929,,Hessen
Frankfurt am Main,65931,,Hessen
Frankfurt am Main,65933,,Hessen
Frankfurt am Main,65934,,Hessen
Frankfurt am Main,65936,,Hessen
Frankfurt (Oder),15230,,Brandenburg
Frankfurt (Oder),15232,,Brandenburg
Frankfurt (Oder),15234,,Brandenburg
Frankfurt (Oder),15236,,Brandenburg
Fränkisch-Crumbach,64407,Odenwaldkreis,Hessen
Frankweiler,76833,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Franzburg,18461,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Franzenheim,54316,Landkreis Trier-Saarburg,Rheinland-Pfalz
Frasdorf,83112,Landkreis Rosenheim,Bayern
Frauenau,94258,Landkreis Regen,Bayern
Frauenberg,55776,Landkreis Birkenfeld,Rheinland-Pfalz
Frauendorf,01945,Landkreis Oberspreewald-Lausitz,Brandenburg
Frauenneuharting,83553,Landkreis Ebersberg,Bayern
Frauenprießnitz,07774,Saale-Holzland-Kreis,Thüringen
Frauenstein,09623,Landkreis Mittelsachsen,Sachsen
Fraunberg,85447,Landkreis Erding,Bayern
Fraureuth,08427,Landkreis Zwickau,Sachsen
Frechen,50226,Rhein-Erft-Kreis,Nordrhein-Westfalen
Freckenfeld,76872,Landkreis Germersheim,Rheinland-Pfalz
Fredeburg,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Fredenbeck,21717,Landkreis Stade,Niedersachsen
Freden (Leine),31084,Landkreis Hildesheim,Niedersachsen
Fredersdorf-Vogelsdorf,15370,Landkreis Märkisch-Oderland,Brandenburg
Fredesdorf,23826,Kreis Segeberg,Schleswig-Holstein
Freiamt,79348,Landkreis Emmendingen,Baden-Württemberg
Freiberg,09599,Landkreis Mittelsachsen,Sachsen
Freiberg am Neckar,71691,Landkreis Ludwigsburg,Baden-Württemberg
Freiburg (Elbe),21729,Landkreis Stade,Niedersachsen
Freiburg im Breisgau,79098,,Baden-Württemberg
Freiburg im Breisgau,79100,,Baden-Württemberg
Freiburg im Breisgau,79102,,Baden-Württemberg
Freiburg im Breisgau,79104,,Baden-Württemberg
Freiburg im Breisgau,79106,,Baden-Württemberg
Freiburg im Breisgau,79108,,Baden-Württemberg
Freiburg im Breisgau,79110,,Baden-Württemberg
Freiburg im Breisgau,79111,,Baden-Württemberg
Freiburg im Breisgau,79112,,Baden-Württemberg
Freiburg im Breisgau,79114,,Baden-Württemberg
Freiburg im Breisgau,79115,,Baden-Württemberg
Freiburg im Breisgau,79117,,Baden-Württemberg
Freienbessingen,99713,Kyffhäuserkreis,Thüringen
Freienhagen,37318,Landkreis Eichsfeld,Thüringen
Freienorla,07768,Saale-Holzland-Kreis,Thüringen
Freiensteinau,36399,Vogelsbergkreis,Hessen
Freienwill,24991,Kreis Schleswig-Flensburg,Schleswig-Holstein
Freigericht,63579,Main-Kinzig-Kreis,Hessen
Freihung,92271,Landkreis Amberg-Sulzbach,Bayern
Freilassing,83395,Landkreis Berchtesgadener Land,Bayern
Frei-Laubersheim,55546,Landkreis Bad Kreuznach,Rheinland-Pfalz
Freilingen,56244,Westerwaldkreis,Rheinland-Pfalz
Freimersheim,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
Freimersheim (Pfalz),67482,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Freinsheim,67098,Landkreis Bad Dürkheim,Rheinland-Pfalz
Freinsheim,67251,Landkreis Bad Dürkheim,Rheinland-Pfalz
Freirachdorf,56244,Westerwaldkreis,Rheinland-Pfalz
Freisbach,67361,Landkreis Germersheim,Rheinland-Pfalz
Freisen,66629,Landkreis St. Wendel,Saarland
Freising,85354,Landkreis Freising,Bayern
Freising,85356,Landkreis Freising,Bayern
Freistatt,27259,Landkreis Diepholz,Niedersachsen
Freital,01705,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Frellstedt,38373,Landkreis Helmstedt,Niedersachsen
Fremdingen,86742,Landkreis Donau-Ries,Bayern
Frensdorf,96158,Landkreis Bamberg,Bayern
Freren,49832,Landkreis Emsland,Niedersachsen
Fresenburg,49762,Landkreis Emsland,Niedersachsen
Fresendelf,25876,Kreis Nordfriesland,Schleswig-Holstein
Frestedt,25727,Kreis Dithmarschen,Schleswig-Holstein
Frettenheim,67596,Landkreis Alzey-Worms,Rheinland-Pfalz
Fretterode,37318,Landkreis Eichsfeld,Thüringen
Freudenberg,57258,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
Freudenberg,97896,Main-Tauber-Kreis,Baden-Württemberg
Freudenberg,92272,Landkreis Amberg-Sulzbach,Bayern
Freudenburg,54450,Landkreis Trier-Saarburg,Rheinland-Pfalz
Freudenstadt,72250,Landkreis Freudenstadt,Baden-Württemberg
Freudental,74392,Landkreis Ludwigsburg,Baden-Württemberg
Freyburg (Unstrut),06632,Burgenlandkreis,Sachsen-Anhalt
Freystadt,92342,Landkreis Neumarkt in der Oberpfalz,Bayern
Freyung,94078,Landkreis Freyung-Grafenau,Bayern
Frickenhausen,72636,Landkreis Esslingen,Baden-Württemberg
Frickenhausen a.Main,97252,Landkreis Würzburg,Bayern
Frickingen,88699,Bodenseekreis,Baden-Württemberg
Fridingen an der Donau,78567,Landkreis Tuttlingen,Baden-Württemberg
Fridolfing,83413,Landkreis Traunstein,Bayern
Friedberg,61169,Wetteraukreis,Hessen
Friedberg,86316,Landkreis Aichach-Friedberg,Bayern
Friedeburg,26446,Landkreis Wittmund,Niedersachsen
Friedelshausen,98634,Landkreis Schmalkalden-Meiningen,Thüringen
Friedelsheim,67159,Landkreis Bad Dürkheim,Rheinland-Pfalz
Friedenfels,95688,Landkreis Tirschenreuth,Bayern
Friedenweiler,79877,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Friedewald,36289,Landkreis Hersfeld-Rotenburg,Hessen
Friedewald,57520,Landkreis Altenkirchen,Rheinland-Pfalz
Friedland,15848,Landkreis Oder-Spree,Brandenburg
Friedland,37133,Landkreis Göttingen,Niedersachsen
Friedland,17098,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Friedrichroda,99894,Landkreis Gotha,Thüringen
Friedrichsdorf,61273,Hochtaunuskreis,Hessen
Friedrichsdorf,61381,Hochtaunuskreis,Hessen
Friedrichsgabekoog,25764,Kreis Dithmarschen,Schleswig-Holstein
Friedrichsgraben,24799,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Friedrichshafen,88045,Bodenseekreis,Baden-Württemberg
Friedrichshafen,88046,Bodenseekreis,Baden-Württemberg
Friedrichshafen,88048,Bodenseekreis,Baden-Württemberg
Friedrichsholm,24799,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Friedrichskoog,25718,Kreis Dithmarschen,Schleswig-Holstein
Friedrichsruhe,19089,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Friedrichstadt,25840,Kreis Nordfriesland,Schleswig-Holstein
Friedrichsthal,66299,Regionalverband Saarbrücken,Saarland
Friedrichswalde,16247,Landkreis Barnim,Brandenburg
Friedrich-Wilhelm-Lübke-Koog,25924,Kreis Nordfriesland,Schleswig-Holstein
Frielendorf,34621,Schwalm-Eder-Kreis,Hessen
Friemar,99869,Landkreis Gotha,Thüringen
Friesack,14662,Landkreis Havelland,Brandenburg
Friesenhagen,51598,Landkreis Altenkirchen,Rheinland-Pfalz
Friesenheim,77948,Ortenaukreis,Baden-Württemberg
Friesenheim,55278,Landkreis Mainz-Bingen,Rheinland-Pfalz
Friesenried,87654,Landkreis Ostallgäu,Bayern
Friesoythe,26169,Landkreis Cloppenburg,Niedersachsen
Friolzheim,71292,Enzkreis,Baden-Württemberg
Frittlingen,78665,Landkreis Tuttlingen,Baden-Württemberg
Fritzlar,34560,Schwalm-Eder-Kreis,Hessen
Frohburg,04654,Landkreis Leipzig,Sachsen
Fröhnd,79677,Landkreis Lörrach,Baden-Württemberg
Frohnhofen,66903,Landkreis Kusel,Rheinland-Pfalz
Fröndenberg/Ruhr,58730,Kreis Unna,Nordrhein-Westfalen
Fronhausen,35112,Landkreis Marburg-Biedenkopf,Hessen
Fronhofen,55471,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Fronreute,88273,Landkreis Ravensburg,Baden-Württemberg
Frontenhausen,84160,Landkreis Dingolfing-Landau,Bayern
Frücht,56132,Rhein-Lahn-Kreis,Rheinland-Pfalz
Fuchshofen,53533,Landkreis Ahrweiler,Rheinland-Pfalz
Fuchsmühl,95689,Landkreis Tirschenreuth,Bayern
Fuchsstadt,97727,Landkreis Bad Kissingen,Bayern
Fuchstal,86925,Landkreis Landsberg am Lech,Bayern
Fuhlendorf,18356,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Fuhlendorf,24649,Kreis Segeberg,Schleswig-Holstein
Fuhlenhagen,21493,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Fulda,36037,Landkreis Fulda,Hessen
Fulda,36039,Landkreis Fulda,Hessen
Fulda,36041,Landkreis Fulda,Hessen
Fulda,36043,Landkreis Fulda,Hessen
Fuldabrück,34277,Landkreis Kassel,Hessen
Fuldatal,34127,Landkreis Kassel,Hessen
Fuldatal,34233,Landkreis Kassel,Hessen
Fünfseen,17213,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Fünfstetten,86681,Landkreis Donau-Ries,Bayern
Fürfeld,55546,Landkreis Bad Kreuznach,Rheinland-Pfalz
Fürstenau,49584,Landkreis Osnabrück,Niedersachsen
Fürstenberg,37699,Landkreis Holzminden,Niedersachsen
Fürstenberg/Havel,16798,Landkreis Oberhavel,Brandenburg
Fürsteneck,94142,Landkreis Freyung-Grafenau,Bayern
Fürstenfeldbruck,82256,Landkreis Fürstenfeldbruck,Bayern
Fürstenstein,94538,Landkreis Passau,Bayern
Fürstenwalde/Spree,15517,Landkreis Oder-Spree,Brandenburg
Fürstenzell,94081,Landkreis Passau,Bayern
Furth,84095,Landkreis Landshut,Bayern
Fürth,90762,,Bayern
Fürth,90763,,Bayern
Fürth,90765,,Bayern
Fürth,90766,,Bayern
Fürth,90768,,Bayern
Fürth,64658,Kreis Bergstraße,Hessen
Fürthen,57539,Landkreis Altenkirchen,Rheinland-Pfalz
Furth im Wald,93437,Landkreis Cham,Bayern
Furtwangen im Schwarzwald,78120,Schwarzwald-Baar-Kreis,Baden-Württemberg
Füssen,87629,Landkreis Ostallgäu,Bayern
Fußgönheim,67136,Rhein-Pfalz-Kreis,Rheinland-Pfalz
Gablenz - Jabłońc,02953,Landkreis Görlitz,Sachsen
Gablingen,86456,Landkreis Augsburg,Bayern
Gabsheim,55288,Landkreis Alzey-Worms,Rheinland-Pfalz
Gachenbach,86565,Landkreis Neuburg-Schrobenhausen,Bayern
Gackenbach,56412,Westerwaldkreis,Rheinland-Pfalz
Gadebusch,19205,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Gädheim,97503,Landkreis Haßberge,Bayern
Gägelow,23968,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Gaggenau,76571,Landkreis Rastatt,Baden-Württemberg
Gaiberg,69251,Rhein-Neckar-Kreis,Baden-Württemberg
Gaienhofen,78343,Landkreis Konstanz,Baden-Württemberg
Gaildorf,74405,Landkreis Schwäbisch Hall,Baden-Württemberg
Gailingen am Hochrhein,78262,Landkreis Konstanz,Baden-Württemberg
Gaimersheim,85080,Landkreis Eichstätt,Bayern
Gaißach,83674,Landkreis Bad Tölz-Wolfratshausen,Bayern
Galenbeck,17099,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Galenberg,56651,Landkreis Ahrweiler,Rheinland-Pfalz
Gallin,19258,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gallin-Kuppentin,19386,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gallmersgarten,91605,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Galmsbüll,25899,Kreis Nordfriesland,Schleswig-Holstein
Gamlen,56761,Landkreis Cochem-Zell,Rheinland-Pfalz
Gammelby,24340,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Gammelin,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gammelsdorf,85408,Landkreis Freising,Bayern
Gammelshausen,73108,Landkreis Göppingen,Baden-Württemberg
Gammertingen,72501,Landkreis Sigmaringen,Baden-Württemberg
Ganderkesee,27777,Landkreis Oldenburg,Niedersachsen
Gandesbergen,27324,Landkreis Nienburg/Weser,Niedersachsen
Gangelt,52538,Kreis Heinsberg,Nordrhein-Westfalen
Gangkofen,84140,Landkreis Rottal-Inn,Bayern
Gangloffsömmern,99634,Landkreis Sömmerda,Thüringen
Ganzlin,19395,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gappenach,56294,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Garbsen,30823,Region Hannover,Niedersachsen
Garbsen,30826,Region Hannover,Niedersachsen
Garbsen,30827,Region Hannover,Niedersachsen
Garching an der Alz,84518,Landkreis Altötting,Bayern
Garching bei München,85748,Landkreis München,Bayern
Gardelegen,39638,Altmarkkreis Salzwedel,Sachsen-Anhalt
Gardelegen,39646,Altmarkkreis Salzwedel,Sachsen-Anhalt
Gardelegen,39649,Altmarkkreis Salzwedel,Sachsen-Anhalt
Garding,25836,Kreis Nordfriesland,Schleswig-Holstein
Garlstorf,21376,Landkreis Harburg,Niedersachsen
Garmisch-Partenkirchen,82467,Landkreis Garmisch-Partenkirchen,Bayern
Garmisch-Partenkirchen,82475,Landkreis Garmisch-Partenkirchen,Bayern
Garrel,49681,Landkreis Cloppenburg,Niedersachsen
Gars am Inn,83536,Landkreis Mühldorf am Inn,Bayern
Gars am Inn,83546,Landkreis Mühldorf am Inn,Bayern
Gars am Inn,83555,Landkreis Mühldorf am Inn,Bayern
Gars am Inn,83559,Landkreis Mühldorf am Inn,Bayern
Garstedt,21441,Landkreis Harburg,Niedersachsen
Gartow,29471,Landkreis Lüchow-Dannenberg,Niedersachsen
Gärtringen,71116,Landkreis Böblingen,Baden-Württemberg
Gartz (Oder),16307,Landkreis Uckermark,Brandenburg
Garz,17419,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Garzau-Garzin,15345,Landkreis Märkisch-Oderland,Brandenburg
Garz/Rügen,18574,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Gattendorf,95185,Landkreis Hof,Bayern
Gau-Algesheim,55435,Landkreis Mainz-Bingen,Rheinland-Pfalz
Gau-Bickelheim,55599,Landkreis Alzey-Worms,Rheinland-Pfalz
Gau-Bischofsheim,55296,Landkreis Mainz-Bingen,Rheinland-Pfalz
Gauern,07580,Landkreis Greiz,Thüringen
Gauersheim,67294,Donnersbergkreis,Rheinland-Pfalz
Gäufelden,71126,Landkreis Böblingen,Baden-Württemberg
Gaugrehweiler,67822,Donnersbergkreis,Rheinland-Pfalz
Gau-Heppenheim,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
Gaukönigshofen,97253,Landkreis Würzburg,Bayern
Gau-Odernheim,55239,Landkreis Alzey-Worms,Rheinland-Pfalz
Gaushorn,25782,Kreis Dithmarschen,Schleswig-Holstein
Gauting,82131,Landkreis Starnberg,Bayern
Gau-Weinheim,55578,Landkreis Alzey-Worms,Rheinland-Pfalz
Gebenbach,92274,Landkreis Amberg-Sulzbach,Bayern
Gebesee,99189,Landkreis Sömmerda,Thüringen
Gebhardshain,57580,Landkreis Altenkirchen,Rheinland-Pfalz
Gebroth,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Gebsattel,91607,Landkreis Ansbach,Bayern
Gechingen,75391,Landkreis Calw,Baden-Württemberg
Gedern,63688,Wetteraukreis,Hessen
Geeste,49744,Landkreis Emsland,Niedersachsen
Geesthacht,21502,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Geestland,27607,Landkreis Cuxhaven,Niedersachsen
Geestland,27624,Landkreis Cuxhaven,Niedersachsen
Gefell,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Gefell,07926,Saale-Orla-Kreis,Thüringen
Gefrees,95482,Landkreis Bayreuth,Bayern
Gehlert,57627,Westerwaldkreis,Rheinland-Pfalz
Gehlsbach,19386,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gehlweiler,55490,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Gehofen,06571,Kyffhäuserkreis,Thüringen
Gehrde,49596,Landkreis Osnabrück,Niedersachsen
Gehrden,30989,Region Hannover,Niedersachsen
Gehrweiler,67724,Donnersbergkreis,Rheinland-Pfalz
Geichlingen,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Geiersthal,94244,Landkreis Regen,Bayern
Geilenkirchen,52511,Kreis Heinsberg,Nordrhein-Westfalen
Geilnau,56379,Rhein-Lahn-Kreis,Rheinland-Pfalz
Geisa,36419,Wartburgkreis,Thüringen
Geiselbach,63826,Landkreis Aschaffenburg,Bayern
Geiselberg,67715,Landkreis Südwestpfalz,Rheinland-Pfalz
Geiselhöring,94333,Landkreis Straubing-Bogen,Bayern
Geiselwind,96160,Landkreis Kitzingen,Bayern
Geisenfeld,85290,Landkreis Pfaffenhofen an der Ilm,Bayern
Geisenhain,07646,Saale-Holzland-Kreis,Thüringen
Geisenhausen,84144,Landkreis Landshut,Bayern
Geisenheim,65366,Rheingau-Taunus-Kreis,Hessen
Geisfeld,54413,Landkreis Trier-Saarburg,Rheinland-Pfalz
Geisig,56357,Rhein-Lahn-Kreis,Rheinland-Pfalz
Geisingen,78187,Landkreis Tuttlingen,Baden-Württemberg
Geisleden,37308,Landkreis Eichsfeld,Thüringen
Geislingen,72351,Zollernalbkreis,Baden-Württemberg
Geislingen an der Steige,73312,Landkreis Göppingen,Baden-Württemberg
Geismar,37308,Landkreis Eichsfeld,Thüringen
Geithain,04643,Landkreis Leipzig,Sachsen
Gelbensande,18182,Landkreis Rostock,Mecklenburg-Vorpommern
Gelchsheim,97255,Landkreis Würzburg,Bayern
Geldern,47608,Kreis Kleve,Nordrhein-Westfalen
Geldersheim,97505,Landkreis Schweinfurt,Bayern
Gelenau/Erzgebirge,09423,Erzgebirgskreis,Sachsen
Gelenberg,53539,Landkreis Vulkaneifel,Rheinland-Pfalz
Gelnhausen,63571,Main-Kinzig-Kreis,Hessen
Gelnhausen,63589,Main-Kinzig-Kreis,Hessen
Gelsenkirchen,45879,,Nordrhein-Westfalen
Gelsenkirchen,45881,,Nordrhein-Westfalen
Gelsenkirchen,45883,,Nordrhein-Westfalen
Gelsenkirchen,45884,,Nordrhein-Westfalen
Gelsenkirchen,45886,,Nordrhein-Westfalen
Gelsenkirchen,45888,,Nordrhein-Westfalen
Gelsenkirchen,45889,,Nordrhein-Westfalen
Gelsenkirchen,45891,,Nordrhein-Westfalen
Gelsenkirchen,45892,,Nordrhein-Westfalen
Gelsenkirchen,45894,,Nordrhein-Westfalen
Gelsenkirchen,45896,,Nordrhein-Westfalen
Gelsenkirchen,45897,,Nordrhein-Westfalen
Gelsenkirchen,45899,,Nordrhein-Westfalen
Geltendorf,82269,Landkreis Landsberg am Lech,Bayern
Gelting,24395,Kreis Schleswig-Flensburg,Schleswig-Holstein
Geltorf,24884,Kreis Schleswig-Flensburg,Schleswig-Holstein
Gemmerich,56357,Rhein-Lahn-Kreis,Rheinland-Pfalz
Gemmingen,75050,Landkreis Heilbronn,Baden-Württemberg
Gemmrigheim,74376,Landkreis Ludwigsburg,Baden-Württemberg
Gemünd,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gemünden,56459,Westerwaldkreis,Rheinland-Pfalz
Gemünden,55490,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Gemünden am Main,97737,Landkreis Main-Spessart,Bayern
Gemünden (Felda),35329,Vogelsbergkreis,Hessen
Gemünden (Wohra),35285,Landkreis Waldeck-Frankenberg,Hessen
Genderkingen,86682,Landkreis Donau-Ries,Bayern
Gengenbach,77723,Ortenaukreis,Baden-Württemberg
Gensingen,55457,Landkreis Mainz-Bingen,Rheinland-Pfalz
Genthin,39291,Landkreis Jerichower Land,Sachsen-Anhalt
Genthin,39307,Landkreis Jerichower Land,Sachsen-Anhalt
Gentingen,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Georgenberg,92697,Landkreis Neustadt an der Waldnaab,Bayern
Georgensgmünd,91166,Landkreis Roth,Bayern
Georgenthal,99887,Landkreis Gotha,Thüringen
Georgsdorf,49828,Landkreis Grafschaft Bentheim,Niedersachsen
Georgsmarienhütte,49124,Landkreis Osnabrück,Niedersachsen
Gera,07545,,Thüringen
Gera,07546,,Thüringen
Gera,07548,,Thüringen
Gera,07549,,Thüringen
Gera,07551,,Thüringen
Gera,07552,,Thüringen
Gera,07554,,Thüringen
Gera,07557,,Thüringen
Gerabronn,74582,Landkreis Schwäbisch Hall,Baden-Württemberg
Gerach,96161,Landkreis Bamberg,Bayern
Gerach,55743,Landkreis Birkenfeld,Rheinland-Pfalz
Geratal,99330,Ilm-Kreis,Thüringen
Geratal,99331,Ilm-Kreis,Thüringen
Geratskirchen,84552,Landkreis Rottal-Inn,Bayern
Gerbach,67813,Donnersbergkreis,Rheinland-Pfalz
Gerbershausen,37318,Landkreis Eichsfeld,Thüringen
Gerbrunn,97218,Landkreis Würzburg,Bayern
Gerbstedt,06347,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Gerdau,29581,Landkreis Uelzen,Niedersachsen
Gerdshagen,16928,Landkreis Prignitz,Brandenburg
Geretsried,82538,Landkreis Bad Tölz-Wolfratshausen,Bayern
Gerhardsbrunn,66851,Landkreis Kaiserslautern,Rheinland-Pfalz
Gerhardsbrunn,66894,Landkreis Kaiserslautern,Rheinland-Pfalz
Gerhardshofen,91466,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Gering,56751,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Geringswalde,09326,Landkreis Mittelsachsen,Sachsen
Gerlingen,70839,Landkreis Ludwigsburg,Baden-Württemberg
Germaringen,87656,Landkreis Ostallgäu,Bayern
Germering,82110,Landkreis Fürstenfeldbruck,Bayern
Germersheim,76726,Landkreis Germersheim,Rheinland-Pfalz
Gernrode,37339,Landkreis Eichsfeld,Thüringen
Gernsbach,76593,Landkreis Rastatt,Baden-Württemberg
Gernsheim,64579,Kreis Groß-Gerau,Hessen
Geroda,97779,Landkreis Bad Kissingen,Bayern
Geroda,07819,Saale-Orla-Kreis,Thüringen
Geroldsgrün,95179,Landkreis Hof,Bayern
Geroldshausen,97256,Landkreis Würzburg,Bayern
Gerolfingen,91726,Landkreis Ansbach,Bayern
Gerolsbach,85302,Landkreis Pfaffenhofen an der Ilm,Bayern
Gerolsheim,67229,Landkreis Bad Dürkheim,Rheinland-Pfalz
Gerolstein,54568,Landkreis Vulkaneifel,Rheinland-Pfalz
Gerolzhofen,97447,Landkreis Schweinfurt,Bayern
Gersdorf,09355,Landkreis Zwickau,Sachsen
Gersfeld,36129,Landkreis Fulda,Hessen
Gersheim,66453,Saarpfalz-Kreis,Saarland
Gersten,49838,Landkreis Emsland,Niedersachsen
Gerstenberg,04617,Landkreis Altenburger Land,Thüringen
Gerstengrund,36419,Wartburgkreis,Thüringen
Gerstetten,89547,Landkreis Heidenheim,Baden-Württemberg
Gersthofen,86368,Landkreis Augsburg,Bayern
Gerstungen,99834,Wartburgkreis,Thüringen
Gerswalde,17268,Landkreis Uckermark,Brandenburg
Gertewitz,07389,Saale-Orla-Kreis,Thüringen
Gerzen,84175,Landkreis Landshut,Bayern
Geschendorf,23815,Kreis Segeberg,Schleswig-Holstein
Gescher,48712,Kreis Borken,Nordrhein-Westfalen
Gesees,95494,Landkreis Bayreuth,Bayern
Geseke,59590,Kreis Soest,Nordrhein-Westfalen
Geslau,91608,Landkreis Ansbach,Bayern
Gessertshausen,86459,Landkreis Augsburg,Bayern
Gestratz,88167,Landkreis Lindau,Bayern
Getelo,49843,Landkreis Grafschaft Bentheim,Niedersachsen
Gettorf,24214,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Gevelsberg,58285,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen
Gevenich,56825,Landkreis Cochem-Zell,Rheinland-Pfalz
Gevensleben,38384,Landkreis Helmstedt,Niedersachsen
Geyer,09468,Erzgebirgskreis,Sachsen
Giebelstadt,97232,Landkreis Würzburg,Bayern
Gieboldehausen,37434,Landkreis Göttingen,Niedersachsen
Giekau,24321,Kreis Plön,Schleswig-Holstein
Gieleroth,57610,Landkreis Altenkirchen,Rheinland-Pfalz
Gielert,54424,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Gielow,17139,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Giengen an der Brenz,89522,Landkreis Heidenheim,Baden-Württemberg
Giengen an der Brenz,89537,Landkreis Heidenheim,Baden-Württemberg
Gierschnach,56294,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Giershausen,57632,Landkreis Altenkirchen,Rheinland-Pfalz
Giersleben,06449,Salzlandkreis,Sachsen-Anhalt
Gierstädt,99100,Landkreis Gotha,Thüringen
Giesdorf,54614,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Giesen,31180,Landkreis Hildesheim,Niedersachsen
Giesenhausen,57612,Westerwaldkreis,Rheinland-Pfalz
Giesensdorf,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Gießen,35390,Landkreis Gießen,Hessen
Gießen,35392,Landkreis Gießen,Hessen
Gießen,35394,Landkreis Gießen,Hessen
Gießen,35396,Landkreis Gießen,Hessen
Gießen,35398,Landkreis Gießen,Hessen
Gifhorn,38518,Landkreis Gifhorn,Niedersachsen
Gifhorn,38559,Landkreis Gifhorn,Niedersachsen
Gilching,82205,Landkreis Starnberg,Bayern
Gillenbeuren,56825,Landkreis Cochem-Zell,Rheinland-Pfalz
Gillenfeld,54558,Landkreis Vulkaneifel,Rheinland-Pfalz
Gilserberg,34630,Schwalm-Eder-Kreis,Hessen
Gilten,29690,Landkreis Heidekreis,Niedersachsen
Gilzem,54298,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gimbsheim,67578,Landkreis Alzey-Worms,Rheinland-Pfalz
Gimbweiler,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Gindorf,54657,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gingen an der Fils,73333,Landkreis Göppingen,Baden-Württemberg
Gingst,18569,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Ginsheim-Gustavsburg,65462,Kreis Groß-Gerau,Hessen
Ginsweiler,67742,Landkreis Kusel,Rheinland-Pfalz
Gipperath,54533,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Girkenroth,56459,Westerwaldkreis,Rheinland-Pfalz
Girod,56412,Westerwaldkreis,Rheinland-Pfalz
Gladbach,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Gladbeck,45964,Kreis Recklinghausen,Nordrhein-Westfalen
Gladbeck,45966,Kreis Recklinghausen,Nordrhein-Westfalen
Gladbeck,45968,Kreis Recklinghausen,Nordrhein-Westfalen
Gladenbach,35075,Landkreis Marburg-Biedenkopf,Hessen
Glanbrücken,66887,Landkreis Kusel,Rheinland-Pfalz
Glandorf,49219,Landkreis Osnabrück,Niedersachsen
Glan-Münchweiler,66907,Landkreis Kusel,Rheinland-Pfalz
Glasau,23719,Kreis Segeberg,Schleswig-Holstein
Glasehausen,37308,Landkreis Eichsfeld,Thüringen
